,Road,enter_Q,time_needed,exit_Q,direction
0,2,14.479999999999736,2,15.449999999999715,STRAIGHT
1,1,15.989999999999704,2,17.609999999999953,RIGHT
2,1,19.12000000000019,2,20.22000000000036,STRAIGHT
3,1,21.69000000000059,2,22.800000000000765,STRAIGHT
4,0,23.54000000000088,2,25.030000000001113,STRAIGHT
5,1,24.18000000000098,3,26.10000000000128,LEFT
6,3,26.560000000001352,2,28.490000000001654,STRAIGHT
7,1,27.25000000000146,2,29.920000000001878,STRAIGHT
8,0,28.65000000000168,2,30.57000000000198,RIGHT
9,3,30.52000000000197,2,32.46000000000211,STRAIGHT
10,2,31.070000000002057,2,33.000000000002004,RIGHT
11,1,31.190000000002076,2,35.34000000000154,STRAIGHT
12,3,33.88000000000183,2,35.83000000000144,STRAIGHT
13,2,35.0200000000016,2,36.93000000000122,RIGHT
14,3,37.13000000000118,2,39.11000000000079,STRAIGHT
15,2,38.36000000000094,2,40.30000000000055,STRAIGHT
16,3,40.29000000000055,2,42.33000000000015,RIGHT
17,1,40.46000000000052,3,42.37000000000014,LEFT
18,2,42.52000000000011,2,44.449999999999726,STRAIGHT
19,0,43.08,2,45.01999999999961,STRAIGHT
20,2,45.86999999999944,3,47.75999999999907,LEFT
21,0,47.02999999999921,2,48.93999999999883,STRAIGHT
22,1,49.26999999999877,3,51.19999999999838,LEFT
23,0,50.139999999998594,3,52.389999999998146,LEFT
24,2,52.489999999998126,2,54.41999999999774,STRAIGHT
25,1,52.50999999999812,2,54.53999999999772,STRAIGHT
26,3,55.1499999999976,2,57.069999999997215,STRAIGHT
27,1,55.73999999999748,2,58.029999999997024,STRAIGHT
28,2,58.6499999999969,2,60.56999999999652,STRAIGHT
29,1,59.20999999999679,2,62.45999999999614,STRAIGHT
30,2,61.81999999999627,2,63.949999999995846,STRAIGHT
31,1,63.88999999999586,2,67.00999999999738,STRAIGHT
32,2,66.71999999999723,2,68.65999999999822,RIGHT
33,0,67.21999999999748,3,69.14999999999847,LEFT
34,1,68.229999999998,2,72.25000000000006,STRAIGHT
35,2,70.05999999999894,2,72.26000000000006,STRAIGHT
36,3,71.7499999999998,3,73.68000000000079,LEFT
37,0,73.67000000000078,2,75.60000000000177,STRAIGHT
38,1,74.27000000000109,2,82.35000000000522,STRAIGHT
39,2,75.50000000000172,2,82.36000000000523,STRAIGHT
40,0,77.32000000000265,2,82.37000000000523,STRAIGHT
41,0,80.45000000000425,2,82.73000000000542,STRAIGHT
42,3,80.9300000000045,2,82.85000000000548,STRAIGHT
43,1,83.78000000000596,2,85.830000000007,RIGHT
44,0,83.98000000000606,2,86.29000000000724,RIGHT
45,3,84.76000000000646,2,86.68000000000744,STRAIGHT
46,2,85.40000000000678,2,87.32000000000777,STRAIGHT
47,1,87.04000000000762,2,89.32000000000879,STRAIGHT
48,0,87.85000000000804,2,89.78000000000903,STRAIGHT
49,3,89.28000000000877,2,91.21000000000976,STRAIGHT
50,0,91.16000000000973,2,93.14000000001074,STRAIGHT
51,1,93.4500000000109,2,95.37000000001188,STRAIGHT
52,0,94.31000000001134,2,96.84000000001264,STRAIGHT
53,3,94.92000000001165,2,96.86000000001265,STRAIGHT
54,1,96.93000000001268,3,98.86000000001367,LEFT
55,0,98.39000000001343,2,100.37000000001444,RIGHT
56,3,99.73000000001412,2,101.64000000001509,STRAIGHT
57,0,101.71000000001513,2,103.72000000001616,STRAIGHT
58,3,103.07000000001582,2,105.02000000001682,STRAIGHT
59,1,103.67000000001613,2,105.59000000001711,RIGHT
60,2,104.7800000000167,2,106.71000000001769,STRAIGHT
61,1,107.320000000018,2,109.23000000001898,STRAIGHT
62,0,108.23000000001846,2,110.16000000001945,STRAIGHT
63,1,110.63000000001969,2,112.6100000000207,STRAIGHT
64,2,111.20000000001998,3,113.12000000002097,LEFT
65,0,113.17000000002099,2,115.09000000002197,STRAIGHT
66,3,113.87000000002135,2,115.79000000002233,RIGHT
67,2,116.16000000002252,2,117.97000000002345,STRAIGHT
68,0,118.89000000002392,2,120.28000000002463,STRAIGHT
69,2,119.14000000002405,3,121.2100000000251,LEFT
70,1,119.93000000002445,2,121.85000000002543,RIGHT
71,0,122.39000000002571,2,124.11000000002659,STRAIGHT
72,0,125.3100000000272,2,126.56000000002784,STRAIGHT
73,3,125.83000000002747,3,127.75000000002845,LEFT
74,2,127.51000000002833,2,129.43000000002726,STRAIGHT
75,0,127.8600000000285,3,129.8200000000269,LEFT
76,0,131.00000000002584,2,133.05000000002397,RIGHT
77,2,131.28000000002558,2,133.19000000002384,STRAIGHT
78,2,134.39000000002275,2,136.07000000002122,STRAIGHT
79,0,134.47000000002268,2,136.41000000002091,STRAIGHT
80,3,136.37000000002095,3,138.3100000000192,LEFT
81,2,137.25000000002015,2,139.34000000001825,RIGHT
82,1,137.78000000001967,2,139.7100000000179,STRAIGHT
83,1,141.0600000000167,2,142.61000000001528,STRAIGHT
84,0,141.17000000001659,2,143.10000000001483,STRAIGHT
85,0,144.37000000001368,2,145.9900000000122,STRAIGHT
86,0,147.17000000001113,2,148.44000000000997,STRAIGHT
87,1,147.2100000000111,2,149.13000000000935,STRAIGHT
88,0,149.71000000000882,2,151.69000000000702,STRAIGHT
89,1,150.87000000000776,2,152.79000000000602,STRAIGHT
90,2,151.3700000000073,2,153.30000000000555,STRAIGHT
91,0,152.84000000000597,2,155.72000000000335,RIGHT
92,3,154.37000000000458,2,156.30000000000283,STRAIGHT
93,2,154.64000000000433,2,156.64000000000252,STRAIGHT
94,2,157.8600000000014,3,159.55999999999986,LEFT
95,0,158.4300000000009,3,160.34999999999914,LEFT
96,2,160.78999999999874,3,162.8099999999969,LEFT
97,0,161.73999999999788,2,163.6999999999961,STRAIGHT
98,0,164.86999999999503,2,166.62999999999343,STRAIGHT
99,3,165.03999999999488,2,166.9799999999931,STRAIGHT
100,2,166.9899999999931,2,168.91999999999135,STRAIGHT
101,0,167.7699999999924,2,170.04999999999032,RIGHT
102,2,170.55999999998986,2,172.34999999998823,RIGHT
103,1,170.97999999998947,2,172.90999999998772,RIGHT
104,0,171.22999999998925,2,175.5599999999853,STRAIGHT
105,3,172.73999999998787,2,175.5699999999853,STRAIGHT
106,1,177.4299999999836,2,179.35999999998185,STRAIGHT
107,0,177.93999999998314,2,183.76999999997784,STRAIGHT
108,2,178.71999999998243,2,183.77999999997783,STRAIGHT
109,1,182.41999999997907,2,184.3599999999773,RIGHT
110,2,183.85999999997776,2,185.779999999976,STRAIGHT
111,3,184.62999999997706,2,186.5599999999753,STRAIGHT
112,0,185.19999999997654,2,188.66999999997338,STRAIGHT
113,3,187.89999999997409,2,189.88999999997228,STRAIGHT
114,2,189.67999999997247,2,191.6199999999707,STRAIGHT
115,0,190.24999999997195,2,194.65999999996794,RIGHT
116,2,192.84999999996958,2,195.0199999999676,STRAIGHT
117,3,192.98999999996946,2,195.0299999999676,RIGHT
118,1,195.17999999996746,2,197.08999999996573,RIGHT
119,0,196.0099999999667,2,199.3099999999637,RIGHT
120,3,197.64999999996522,2,199.58999999996345,STRAIGHT
121,2,200.03999999996304,2,201.9699999999613,STRAIGHT
122,0,200.4099999999627,2,204.79999999995871,RIGHT
123,1,202.92999999996042,2,204.86999999995865,RIGHT
124,2,203.23999999996013,2,205.30999999995825,RIGHT
125,0,206.0099999999576,3,207.93999999995586,LEFT
126,1,206.15999999995748,2,208.2099999999556,STRAIGHT
127,0,209.18999999995472,2,211.02999999995305,STRAIGHT
128,2,209.29999999995462,2,211.20999999995288,STRAIGHT
129,1,209.36999999995456,2,212.13999999995204,RIGHT
130,0,212.19999999995198,2,214.28999999995008,STRAIGHT
131,2,215.28999999994917,3,217.1199999999475,LEFT
132,0,215.44999999994903,2,218.59999999994616,STRAIGHT
133,3,216.27999999994827,3,218.60999999994615,LEFT
134,2,218.84999999994594,2,220.77999999994418,RIGHT
135,0,220.02999999994486,3,223.25999999994193,LEFT
136,3,221.54999999994348,2,223.46999999994173,STRAIGHT
137,2,223.30999999994188,2,225.22999999994013,STRAIGHT
138,1,223.85999999994138,2,225.79999999993962,STRAIGHT
139,0,224.53999999994076,2,228.1199999999375,STRAIGHT
140,3,227.41999999993814,2,229.3499999999364,STRAIGHT
141,0,229.779999999936,2,232.5199999999335,RIGHT
142,3,230.9699999999349,2,232.88999999993317,RIGHT
143,0,233.81999999993232,2,235.3699999999309,STRAIGHT
144,3,234.07999999993208,2,236.35999999993,STRAIGHT
145,0,236.5999999999298,2,238.62999999992795,STRAIGHT
146,2,237.43999999992903,2,239.35999999992728,STRAIGHT
147,3,237.53999999992894,3,242.0799999999248,LEFT
148,0,239.7799999999269,2,242.78999999992416,STRAIGHT
149,2,240.69999999992606,2,242.79999999992415,STRAIGHT
150,3,243.09999999992388,3,246.21999999992104,LEFT
151,2,244.45999999992264,2,246.3899999999209,STRAIGHT
152,3,247.44999999991992,2,249.36999999991818,STRAIGHT
153,2,247.7999999999196,3,249.75999999991782,LEFT
154,1,249.49999999991806,2,251.4299999999163,RIGHT
155,3,250.5599999999171,2,252.92999999991494,STRAIGHT
156,1,252.77999999991508,2,254.76999999991327,STRAIGHT
157,0,254.0699999999139,2,255.98999999991216,RIGHT
158,3,254.11999999991386,2,258.1899999999102,STRAIGHT
159,1,255.9299999999122,2,258.55999999990985,STRAIGHT
160,3,259.2799999999092,3,261.9199999999068,LEFT
161,1,259.9399999999086,2,262.09999999990663,RIGHT
162,0,261.8299999999069,3,263.7499999999051,LEFT
163,3,263.16999999990566,3,266.02999999990305,LEFT
164,1,263.2599999999056,2,266.3399999999028,STRAIGHT
165,0,265.04999999990395,3,267.0699999999021,LEFT
166,2,266.109999999903,3,268.0399999999012,LEFT
167,0,268.22999999990105,2,270.97999999989855,STRAIGHT
168,1,268.55999999990075,2,270.98999999989854,STRAIGHT
169,2,271.3799999998982,3,273.29999999989644,LEFT
170,0,272.2499999998974,2,276.6299999998934,STRAIGHT
171,3,272.42999999989723,2,276.6399999998934,RIGHT
172,2,274.82999999989505,2,276.7699999998933,STRAIGHT
173,1,276.8799999998932,2,278.79999999989144,STRAIGHT
174,2,277.9499999998922,2,280.33999999989004,STRAIGHT
175,3,278.6499999998916,3,280.56999999988983,LEFT
176,0,280.38999999989,2,282.30999999988825,STRAIGHT
177,3,282.2699999998883,3,284.17999999988655,LEFT
178,3,285.37999999988546,2,287.4099999998836,STRAIGHT
179,0,286.2899999998846,2,288.2199999998829,STRAIGHT
180,3,288.4899999998826,2,290.9599999998804,STRAIGHT
181,0,289.45999999988175,2,291.5999999998798,STRAIGHT
182,3,291.99999999987944,2,294.5399999998771,STRAIGHT
183,0,292.7799999998787,2,295.50999999987624,RIGHT
184,3,295.95999999987583,3,297.8899999998741,LEFT
185,0,296.7799999998751,2,301.21999999987105,STRAIGHT
